hey	Hi!
padahka chunto ayat ti ngena reti -peti kedua.	-peti nya dilalaika semak babas ngambi jelu enda meda.
nama reti -emparu ti keterubah?	reti kesatu emparu iya nya mela jelu.
ulih nuan madah nama reti emparu ti kesatu?	pengawa mela jelu nya reti keterubah emparu.
nama reti kedua -emparu?	reti kedua emparu iya nya sebansa ular.
reti kedua -emparu?	sebansa ular nya reti kedua emparu.
chunto ayat bagi reti -emparu kesatu?	-kami emparu jani nya ari mit.-
nama chunto ayat bagi -emparu ti ngena reti kesatu?	-manuk emparu ini lenyau dichuri orang.-
beri chunto ayat ngena reti -emparu ti keterubah.	-niang aki rindu emparu kambing-
padahka chunto ayat ti ngena reti -emparu kesatu.	-aki landik bendar dalam pengawa emparu jani.-
chunto ayat bagi reti -emparu kedua?	-iya tekenyit lebuh tetemuka emparu baruh tangga-
nama chunto ayat bagi -emparu ti ngena reti kedua?	-aki munuh emparu nya ngena duku-
beri chunto ayat ngena reti -emparu ti bukai.	-kaki iya telih dipantuk emparu.-
padahka chunto ayat ti ngena reti -emparu kedua.	-emparu selalu belalai belah babas-
ulih nuan nerangka pasal raban jaku iban?	raban jaku bisi empat iti bagi.
terangka pasal raban jaku iban.	raban jaku dibagi nitih ka penuduk sida dalam rambai jaku.
ajar pasal raban jaku iban.	raban jaku tebagi ngagai empat bengkah.
terangka pasal raban jaku iban.	bengkah ti keterubah iya nya jaku nama.
padahka pasal raban jaku iban.	raban jaku dibagi nitih ka penuduk sida dalam ayat.
ajar aku pasal raban jaku iban.	kriteris sintaksis dikena dalam magi leka jaku ngagai siti-siti raban.
nama utai raban jaku iban nya?	seleka jaku tau masuk ngagai lebih ari siti raban.
raban jaku iban?	raban jaku tu bisi empat iti bagi.
raban jaku iban nya baka ni?	raban jaku bisi empat bengkah.
nama raban jaku iban nya?	chara magi raban jaku iya nya nitihka penuduk iya di dalam ayat.
nama bengkah ti bisi dalam raban jaku?	enti dibagi ngena chara kasar, raban jaku tebagi ngagai jaku nama, jaku pengawa, jaku adjektif enggau jaku tugas.
nama bengkah bagi raban jaku?	empat bengkah raban jaku iya nya jaku nama, jaku pengawa, jaku adjektif, jaku tugas.
raban jaku tebagi ngagai bengkah nama?	jaku pengawa, jaku nama, jaku adjektif enggau jaku tugas.
raban jaku nya bisi tebagi ngagai siti-siti bengkah?	bengkah bagi raban jaku iya nya jaku nama, jaku pengawa, jaku tugas enggau jaku adjektif.
padahka aku pasal bengkah raban jaku.	antara bengkah raban jaku bisi jaku nama, jaku adjektif, jaku pengawa enggau jaku tugas.
ajar pasal bengkah raban jaku.	jaku nama, jaku tugas, jaku adjektif enggau jaku tugas nya antara bengkah raban jaku.
bengkah dalam raban jaku nya bisi nama?	antara bagi raban jaku nyengkaum jaku tugas, jaku adjektif, jaku nama enggau jaku pengawa.
padahka pasal bengkah raban jaku iban.	bengkah raban jaku ti bisi iya nya jaku tugas, jaku adjektif, jaku pengawa enggau jaku nama.
bengkah raban jaku iban nya baka ni?	bagi raban jaku iya nya jaku tugas, jaku pengawa, jaku adjektif enggau jaku nama.
nama antara bengkah raban jaku iban ti bisi?	raban jaku tebagi ngagai jaku pengawa, jaku adjektif, jaku tugas enggau jaku nama.
terangka pasal raban jaku nama.	jaku nama dikena nyebut nama mensia, jelu, indu utai, endur, barang enggau ti bukai.
baka ni raban jaku nama nya?	dikena nyebut nama mensia, jelu, indu utai, barang, endur enggau ti bukai.
raban jaku nama nya baka ni?	nama mensia, jelu, indu utai, barang tauka endur disebut ngena jaku nama.
ajar pasal raban jaku nama.	jaku nama nya pugu ke rambai jaku nama.
padahka pasal raban jaku nama.	dalam rambai jaku nama, jaku nama nya nyadika pugu.
raban jaku nama?	jaku nama bisi tebagi ngagai tiga bengkah.
raban jaku nama nya baka ni?	jaku nama bisi tiga bengkah.
nama bengkah ti bisi dalam raban jaku nama?	bengkah jaku nama ti bisi iya nya jaku nama tetap, jaku nama rama enggau jaku ganti nama.
raban jaku nama tebagi ngagai nama bengkah?	jaku nama tetap, jaku nama rama enggau jaku ganti nama.
padahka bengkah ti bisi dalam jaku nama.	jaku nama rama, jaku ganti nama enggau jaku nama tetap nya antara bengkah jaku nama.
ajar pasal bengkah dalam raban jaku nama.	jaku nama tebagi ngagai jaku nama tetap, jaku nama rama enggau jaku ganti nama.
bengkah dalam raban jaku nama?	bagi jaku nama nya iya jaku nama rama, jaku nama tetap enggau jaku ganti nama.
baka ni enggau bengkah ti bisi dalam raban jaku nama?	jaku ganti nama, jaku nama tetap enggau jaku nama rama nya antara bagi jaku nama.
terangka bengkah dalam raban jaku nama.	jaku nama nyengkaum jaku ganti nama, jaku nama tetap enggau jaku nama rama.
terangka pasal raban jaku pengawa.	jaku pengawa bisi dua bengkah.
baka ni raban jaku pengawa nya?	jaku pengawa tebagi ngagai dua bengkah.
raban jaku pengawa nya baka ni?	jaku pengawa bisi dua bagi.
ajar pasal raban jaku pengawa.	jaku pengawa tu leka jaku ti nyadi pugu ba rambai jaku pengawa.
padahka pasal raban jaku pengawa.	leka jaku ti nyadi pugu ba rambai jaku pengawa nya jaku pengawa.
raban jaku pengawa?	jaku pengawa ngembuan dua bengkah.
raban jaku pengawa nya baka ni?	jaku pengawa tu bisi dua bagi.
nama bengkah ti bisi dalam raban jaku pengawa?	jaku pengawa dibagi ngagai jaku pengawa intrasitif enggau jaku pengawa transitif.
raban jaku pengawa tebagi ngagai nama bengkah?	jaku pengawa intrasitif enggau jaku pengawa transitif.
padahka bengkah ti bisi dalam jaku pengawa.	dua bagi jaku pengawa iya jaku pengawa intrasitif enggau transitif.
ajar pasal bengkah dalam raban jaku pengawa.	jaku pengawa nyengkaum jaku pengawa transitif enggau intrasitif.
bengkah dalam raban jaku pengawa?	jaku pengawa intrasitif enggau transitif nya bagi ti bisi dalam jaku pengawa.
baka ni enggau bengkah ti bisi dalam raban jaku pengawa?	dua bengkah jaku pengawa nyengkaum jaku pengawa transitif enggau intrasitif.
terangka bengkah dalam raban jaku pengawa.	dua bagi ti bisi dalam jaku pengawa iya nya jaku pengawa intrasitif enggau transitif.
terangka pasal raban jaku adjektif.	jaku adjektif tu dikena nyeritaka jaku nama.
baka ni raban jaku adjektif nya?	jaku nama dicheritaka ngena jaku adjektif.
raban jaku adjektif nya baka ni?	jaku adjektif tu guna iya nyeritaka jaku nama.
ajar pasal raban jaku adjektif.	jaku nama tu dikena nyerita jaku adjektif.
padahka siti chunto jaku adjektif.	chunto leka jaku adjektif iya nya -lebat.
beri siti chunto leka jaku adjektif.	siti chunto bagi jaku adjektif iya nya linggar.
baka ni chunto jaku adjektif.	chunto jaku adjektif iya nya -manah.
nama bengkah ti bisi dalam raban jaku adjektif?	antara bengkah jaku adjektif iya jaku adjektif gaya.
raban jaku adjektif tebagi ngagai nama bengkah?	jaku adjektif gaya, chura, sukat enggau tukuh nya antara bengkah ti bisi dalam jaku adjektif.
padahka bengkah ti bisi dalam jaku adjektif.	jaku adjektif maya, seraka enggau emosi nya antara bagi jaku adjektif.
ajar pasal bengkah dalam raban jaku adjektif.	antara bagi jaku adjektif nyengkaum jaku adjektif chura, maya, chara enggau emosi.
bengkah dalam raban jaku adjektif?	bengkah ti bisi dalam jaku adjektif nyengkaum jaku adjektif asai, tukuh, gaya enggau sukat.
baka ni enggau bengkah ti bisi dalam raban jaku adjektif?	bansa jaku adjektif ti bisi iya nya jaku adjektif seraka, emosi enggau asai.
terangka bengkah dalam raban jaku adjektif.	jaku adjektif emosi, seraka enggau asai nya antara bansa jaku adjektif.
terangka pasal raban jaku tugas.	jaku tugas semina bisi reti ti nyenggala enti dikena begembar enggau raban jaku bukai.
baka ni raban jaku tugas nya?	sekeda jaku tugas nadai mai reti enti dikena meali-ali.
raban jaku tugas nya baka ni?	jaku tugas nadai meri reti enti enda dikena begembar enggau raban jaku bukai.
ajar pasal raban jaku tugas.	raban jaku bukai dikena enggau jaku tugas ngambika iya bisi reti.
padahka pasal raban jaku tugas.	raban jaku tugas mesti dikena enggau raban jaku bukai ngambika iya bisi reti.
raban jaku tugas?	enti jaku tugas dikena meali-ali, iya nadai reti.
raban jaku tugas nya baka ni?	jaku tugas dikena begembar enggau raban jaku bukai baka jaku nama ngambika iya ngembuan reti.
nama bengkah ti bisi dalam raban jaku tugas?	antara bengkah jaku tugas iya nya jaku penyambung ayat enggau jaku tekenyit.
raban jaku tugas tebagi ngagai nama bengkah?	jaku tanya, jaku pun ayat enggau jaku perintah nya antara bengkah ti bisi dalam jaku tugas.
padahka bengkah ti bisi dalam jaku tugas.	jaku penguat, jaku sangkal enggau jaku penekan nya antara bagi jaku tugas.
ajar pasal bengkah dalam raban jaku tugas.	antara bagi jaku tugas nyengkaum jaku tugas chura, maya, chara enggau emosi.
bengkah dalam raban jaku tugas?	bengkah ti bisi dalam jaku tugas nyengkaum jaku tugas perintah, jaku tanya enggau jaku tekenyit.
baka ni enggau bengkah ti bisi dalam raban jaku tugas?	bansa jaku tugas ti bisi iya nya jaku perintah, pemadah enggau jaku adap.
terangka bengkah dalam raban jaku tugas.	jaku perintah, jaku tanya enggau jaku penyambung ayat nya antara bansa jaku tugas.
baka ni gaya jaku pengawa nya?	raban jaku pengawa tu leka jaku ti nyadi pugu ba rambai jaku pengawa.
aku ka nemu pasal jaku pengawa.	jaku pengawa tok dikena nyadi pugu ba rambai jaku pengawa.
baka ni atur jaku pengawa deh?	jaku pengawa bisi dua iti bengkah iya nya jaku pengawa intrasitif enggau jaku pengawa transitif.
bakani baka jaku pengawa nya?	utai ti nyadi tauka dikereja disebut ngena jaku pengawa.
terangka lebih agi pasal jaku pengawa.	jaku pengawa tu dikena lebuh deka nerangka pengawa ti dikereja tauka utai ti nyadi.
padahka siti chunto leka jaku pengawa.	chunto jaku pengawa iya nya -makai.
beri aku siti chunto bagi jaku pengawa.	-muji nya siti chunto jaku pengawa.
baka ni chunto jaku pengawa.	-makai enggau -muji nya chunto jaku pengawa.
chunto jaku pengawa?	siti chunto jaku pengawa iya nya -nyumai.
jaku pengawa nya baka ni chunto iya?	chunto bagi jaku pengawa iya nya -nyipak.
baka ni gaya jaku pengawa transitif nya?	jaku pengawa transitif nya jaku pengawa ti mesti ditangkan enggau jaku nama.
aku ka nemu pasal jaku pengawa transitif.	penyambut ari jaku nama dikena nangkanka jaku pengawa.
baka ni atur jaku pengawa transitif deh?	jaku pengawa ditangkanka jaku nama ti nyadi penyambut.
bakani baka jaku pengawa transitif nya?	jaku pengawa dikena enggau jaku nama ti nyadi penyambut iya.
terangka lebih agi pasal jaku pengawa transitif.	jaku pengawa trasitif tu jaku pengawa ti dikena betangkanka jaku nama.
beri siti ayat jaku pengawa transitif.	-manuk makai jagung.
ajar aku siti ayat ti ngena jaku pengawa transitif.	-indai muji pemutus peresa jimbat.
baka ni chunto ayat ti ngena jaku pengawa transitif?	-aku nyumai asi ke makai lemai.
chunto ayat bagi jaku pengawa transitif?	-kaki iya kembai dibai nyipak bol.
chunto ayat ngena jaku pengawa intrasitif?	-polis nya meresa beg iya.
meri aku siti rambai jaku ti ngena jaku pengawa transitif.	-imba nyabak sesedan laban dianu apai iya.
nama chunto rambai jaku ti ngena jaku pengawa transitif?	-iya tinduk sehari-hari laban buntau.
meri aku chunto ayat ngena jaku pengawa transitif.	-aku makai sayur ngambika tubuh gerai.
baka ni gaya jaku pengawa intrasitif nya?	jaku pengawa intrasitif nya jaku pengawa ti nadai nerima jaku nama nyadi objek iya.
aku ka nemu pasal jaku pengawa intrasitif.	jaku pengawa intrasitif tu diimbai enggau rentayan jaku penerang ti nyadika penembu ayat iya.
baka ni atur jaku pengawa intrasitif deh?	dalam jaku pengawa intrasitif, raban jaku nadai nerima objek terus.
bakani baka jaku pengawa intrasitif nya?	jaku pengawa intrasitif tebagi ngagai bepenembu enggau enda bepenembu.
terangka lebih agi pasal jaku pengawa intrasitif.	jaku pengawa intrasitif tu bisi dua bengkah iya nya bepenembu enggau nadai bepenembu.
jaku pengawa intrasitif nya baka ni?	nadai objek diterima terus dalam raban jaku pengawa intrasitif.
padahka lebih agi pasal jaku pengawa intrasitif.	jaku intrasitif tau diimbai ngena rentayan jaku penerang.
beri siti ayat jaku pengawa intransitif bepenembu.	-aki diau di rumah panjai.
ajar aku siti ayat ti ngena jaku pengawa intransitif bepenembu.	-aku udah belinsur gerai.
baka ni chunto ayat ti ngena jaku pengawa intransitif bepenembu?	-orang tesat nya belangkau serudu ngena daun.
chunto ayat bagi jaku pengawa intransitif bepenembu?	-imba nyadi tuai rumah taun 2022 ila.
chunto ayat ngena jaku pengawa intrasitif?	-seduai iya kawin bulan nyin ila.
meri aku siti rambai jaku ti ngena jaku pengawa intransitif bepenembu.	-apai indai iya sarak kemari.
nama chunto rambai jaku ti ngena jaku pengawa intransitif bepenembu?	-iya nyabak sesedan laban takut.
meri aku chunto ayat ngena jaku pengawa intransitif bepenembu.	-limbi benung nulis surat ngagai kaban iya.
beri siti ayat jaku pengawa intransitif enda bepenembu.	-linggi tuchum.
ajar aku siti ayat ti ngena jaku pengawa intransitif enda bepenembu.	-indai ketawa.
baka ni chunto ayat ti ngena jaku pengawa intransitif enda bepenembu?	-jambi udah pulai.
chunto ayat bagi jaku pengawa intransitif enda bepenembu?	-sidi meda madi iya nyabak.
chunto ayat ngena jaku pengawa intrasitif enda bepenembu?	-aku tinduk.
meri aku siti rambai jaku ti ngena jaku pengawa intransitif enda bepenembu.	-pengajar nya benung nulis.
nama chunto rambai jaku ti ngena jaku pengawa intransitif enda bepenembu?	-seduai iya enda ngetu bejaku.
meri aku chunto ayat ngena jaku pengawa intransitif enda bepenembu.	-indai udah bejalai.
nama bengkah jaku nama ti bisi?	jaku nama tebagi ngagai jaku nama tetap, jaku nama rama enggau jaku ganti nama.
bengkah bagi jaku nama?	antara bengkah jaku nama iya nya jaku nama tetap, jaku nama rama enggau jaku ganti nama.
padahka bagi jaku nama ti bisi.	jaku nama tetap, jaku nama rama enggau jaku ganti nama nya antara bagi jaku nama.
beri bengkah ti bisi dalam jaku nama.	jaku nama bisi tiga bansa iya jaku nama tetap, jaku nama rama enggau jaku ganti nama.
jaku nama bisi berapa bengkah?	jaku nama tetap, jaku nama rama enggau jaku ganti nama.
nama bengkah bagi jaku nama?	tiga bansa jaku nama iya nya jaku nama rama, jaku nama tetap enggau jaku ganti nama.
jaku nama nya bisi dibagi ngagai berapa bengkah?	tiga bengkah jaku nama iya nya jaku nama tetap, jaku nama rama enggau jaku ganti nama.
nama bagi jaku nama ti ditemu nuan?	jaku nama bisi tiga bagi iya nya jaku ganti nama, jaku nama tetap enggau jaku nama rama.
nuan nemu bengkah ti bisi bagi jaku nama?	jaku nama dibagi ngagai tiga bansa iya nya jaku ganti nama, jaku nama tetap enggau jaku nama rama.
padah bengkah ti bisi bagi jaku nama.	jaku nama tetap, jaku nama rama enggau jaku ganti nama nya tiga bansa ti bisi dalam jaku nama.
terangka pasal jaku nama tetap.	jaku nama tetap tu nama ti diberi ngagai utai idup enda ngira iya mensia tauka ukai mensia.
baka ni jaku nama tetap nya?	jaku nama tetap nya tukuh jaku ti dikena nyebut nama mensia, endur, jwlu, pekakas, gerempung, pangkat enggau ti bukai.
padahka pasal jaku nama tetap	tukuh jaku nama ditulis bepunka urup besai enda ngira endur iya dikena dalam ayat.
terangka jaku nama tetap.	jaku nama tetap dibagi ngagai jaku nama tetap idup enggau jaku nama tetap ukai idup.
jaku nama tetap?	jaku nama tetap idup dibagi ngagai jaku nama tetap idup mensia enggau jaku nama tetap idup ukai mensia.
nama chunto bagi jaku nama tetap idup mensia?	chunto jaku nama tetap idup mensia iya nya nama orang baka -Entinggi.
beri siti chunto jaku nama tetap idup mensia?	chunto jaku nama tetap idup mensia iya nya nama apai baka -Garan.
padahka siti chunto jaku nama tetap idup mensia.	chunto jaku nama tetap idup mensia iya nya nama kaban nuan baka -Jugah.
siti chunto bagi jaku nama tetap idup mensia.	chunto jaku nama tetap idup mensia iya nya nama menyadi baka -Bale.
meri aku siti chunto jaku nama tetap idup mensia.	chunto jaku nama tetap idup mensia iya nya nama bini nuan baka -Limah.
nama chunto bagi jaku nama tetap idup ukai mensia?	chunto jaku nama tetap idup ukai mensia iya nya nama ukui baka -Sengkalan.
beri siti chunto jaku nama tetap idup ukai mensia?	chunto jaku nama tetap idup ukai mensia iya nya nama mayau baka -Sabit.
padahka siti chunto jaku nama tetap idup ukai mensia.	chunto jaku nama tetap idup ukai mensia iya nya nama manuk sabung nuan baka -Biring.
siti chunto bagi jaku nama tetap idup ukai mensia.	chunto jaku nama tetap idup ukai mensia iya nya nama antu baka -Antu Rayau.
meri aku siti chunto jaku nama tetap idup ukai mensia.	chunto jaku nama tetap idup ukai mensia iya nya nama malikat baka -Gabriel.
nama chunto bagi jaku nama tetap idup ukai?	chunto jaku nama tetap ukai idup iya nya nama gerempung baka -Gerempung Pekebun Song.
beri siti chunto jaku nama tetap idup ukai?	chunto jaku nama tetap ukai idup iya nya nama endur baka -Kota Samarahan.
padahka siti chunto jaku nama tetap idup ukai.	chunto jaku nama tetap ukai idup iya nya nama bansa nuan baka -Iban.
siti chunto bagi jaku nama tetap idup ukai.	chunto jaku nama tetap ukai idup iya nya nama jaku baka -Jaku Iban.
meri aku siti chunto jaku nama tetap idup ukai.	chunto jaku nama tetap ukai idup iya nya nama pangkat baka -Datuk Patinggi.
terangka pasal jaku nama rama.	jaku nama rama dikena nyebut sesebengkah pekara enggau utai rama.
baka ni jaku nama rama nya?	utai rama idup enggau ukai idup disebut ngena jaku nama rama.
padahka pasal jaku nama rama	jaku nama rama tebagi ngagai jaku nama rama idup enggau ukai idup.
terangka jaku nama rama.	jaku nama rama idup tebagi ngagai mensia enggau ukai mensia.
jaku nama rama?	jaku nama rama ukai idup tebagi ngagai institusi enggau ukai institusi.
terangka pasal jaku nama rama idup mensia.	jaku nama rama idup mensia dikena nyebut nama ti madahka bengkah pengawa mensia.
baka ni jaku nama rama idup mensia nya?	lebuh madahka bengkah kereja tauka pengawa mensia, kita ngena jaku nama rama idup mensia.
nama chunto bagi jaku nama rama idup mensia?	chunto jaku nama rama idup mensia iya nya pengawa baka -penulis.
beri siti chunto jaku nama rama idup mensia?	-pengajar nya chunto jaku nama rama idup mensia.
padahka siti chunto jaku nama rama idup mensia.	-polis, -doktor enggau -posmen.
siti chunto bagi jaku nama rama idup mensia.	siti chunto jaku nama rama idup mensia iya nya kerani.
meri aku siti chunto jaku nama rama idup mensia.	chunto bagi jaku nama rama idup mensia iya nya -lemambang.
nama chunto bagi jaku nama rama ukai idup mensia?	chunto jaku nama rama idup ukai mensia iya nya jelu baka -manuk.
beri siti chunto jaku nama rama ukai idup mensia?	-ukui nya chunto jaku nama rama idup ukai mensia bagi jelu.
padahka siti chunto jaku nama rama ukai idup mensia.	-chapi, -bangau enggau -baya.
siti chunto bagi jaku nama rama ukai idup mensia.	siti chunto utai tumbuh bagi jaku nama rama idup ukai mensia iya nya rumput.
meri aku siti chunto jaku nama rama ukai idup mensia.	chunto bagi jaku nama rama idup ukai mensia bagi utai tumbuh iya nya -bungai.
nama chunto bagi jaku nama rama institusi?	chunto jaku nama rama institusi iya nya -sekula.
beri siti chunto jaku nama rama institusi?	-balai polis nya chunto jaku nama rama institusi.
padahka siti chunto jaku nama rama institusi.	-tadika, -gerempung enggau -universiti.
siti chunto bagi jaku nama rama institusi.	siti chunto jaku nama rama institusi iya nya klinik.
meri aku siti chunto jaku nama rama institusi.	chunto bagi jaku nama rama institusi iya nya -hospital.
nama chunto bagi jaku nama rama ukai institusi?	chunto jaku nama rama ukai institusi iya nya -sungai.
beri siti chunto jaku nama rama ukai institusi?	-umai nya chunto jaku nama rama ukai institusi.
padahka siti chunto jaku nama rama ukai institusi.	-kedai, -bukit enggau -jalai.
siti chunto bagi jaku nama rama ukai institusi.	siti chunto jaku nama rama ukai institusi iya nya padang.
meri aku siti chunto jaku nama rama ukai institusi.	chunto bagi jaku nama rama ukai institusi iya nya -dapur.
terangka pasal jaku ganti nama.	jaku ganti nama tu dikena nganti jaku nama.
baka ni jaku ganti nama nya?	jaku nama diganti ngena jaku ganti nama.
padahka pasal jaku ganti nama	lebuh kitai nganti jaku nama, jaku ganti nama dikena.
terangka jaku ganti nama.	jaku ganti nama tebagi ngagai jaku ganti nama orang, penunjuk, tempat enggau adap.
jaku ganti nama?	jaku ganti nama orang, penunjuk, tempat enggau adap nya antara bagi jaku ganti nama.
terangka pasal jaku ganti nama orang.	jaku ganti nama orang dibagi ngagai jaku ganti nama orang kesatu, kedua, ketiga enggau orang pengempu.
baka ni jaku ganti nama orang nya?	antara bengkah jaku ganti nama iya nya jaku ganti nama orang pengempu, kesatu, kedua enggau ketiga.
terangka pasal jaku ganti nama orang pengempu.	jaku ganti nama orang pegempu tu dikena nganti nama orang ke ngempu.
baka ni jaku ganti nama orang pengempu nya?	nama orang ti ngempu diganti enggau jaku ganti nama orang pengempu.
nama chunto bagi jaku ganti nama orang orang pengempu?	chunto jaku ganti nama orang pengempu iya nya -engku.
beri siti chunto jaku ganti nama orang orang pengempu?	-engkami.
padahka siti chunto jaku ganti nama orang orang pengempu.	siti chunto bagi jaku ganti nama orang pengempu iya nya -engkita.
siti chunto bagi jaku ganti nama orang orang pengempu.	antara chunto bagi jaku ganti nama orang pengempu iya nya -engku enggau -engkami.
meri aku siti chunto jaku ganti nama orang orang pengempu.	-engkitai nya antara chunto bagi jaku ganti nama orang pengempu.
terangka pasal jaku ganti nama kesatu.	jaku ganti nama orang kesatu tu dikena nganti nama orang ti bejaku.
baka ni jaku ganti nama kesatu nya?	orang ti bejaku diganti ngena jaku ganti nama orang kesatu.
nama chunto bagi jaku ganti nama orang kesatu?	chunto jaku ganti nama orang kesatu iya nya -aku.
beri siti chunto jaku ganti nama orang kesatu?	-kami.
padahka siti chunto jaku ganti nama orang kesatu.	siti chunto bagi jaku ganti nama orang kesatu iya nya -kitai.
siti chunto bagi jaku ganti nama orang kesatu.	antara chunto bagi jaku ganti nama orang kesatu iya nya -aku enggau -kitai.
meri aku siti chunto jaku ganti nama orang kesatu.	-tua nya antara chunto bagi jaku ganti nama orang kesatu.
terangka pasal jaku ganti nama orang kedua.	jaku ganti nama orang kedua tu dikena nganti nama orang ti berandau enggau kitai.
baka ni jaku ganti nama orang kedua nya?	kita ngena jaku ganti nama kedua dikena nganti nama orang ti berandau enggau kitai.
nama chunto bagi jaku ganti nama orang orang kedua?	chunto jaku ganti nama orang kedua iya nya -nuan.
beri siti chunto jaku ganti nama orang orang kedua?	-dek.
padahka siti chunto jaku ganti nama orang orang kedua.	siti chunto bagi jaku ganti nama orang kedua iya nya -kita.
