hey	Hi!
siti chunto bagi jaku ganti nama orang orang kedua.	antara chunto bagi jaku ganti nama orang kedua iya nya -nuan enggau -dek.
meri aku siti chunto jaku ganti nama orang orang kedua.	-seduai nya antara chunto bagi jaku ganti nama orang kedua.
terangka pasal jaku ganti nama orang ketiga.	jaku ganti nama orang ketiga tu dikena nganti nama orang ti dikenang lebuh kitai berandau enggau orang bukai.
baka ni jaku ganti nama orang ketiga nya?	lebuh bekenang ke orang bukai dalam randau, kitai nguna jaku ganti nama orang ketiga.
nama chunto bagi jaku ganti nama orang orang ketiga?	chunto jaku ganti nama orang ketiga iya nya -iya.
beri siti chunto jaku ganti nama orang orang ketiga?	-sida.
padahka siti chunto jaku ganti nama orang orang ketiga.	siti chunto bagi jaku ganti nama orang ketiga iya nya -sanu.
siti chunto bagi jaku ganti nama orang orang ketiga.	antara chunto bagi jaku ganti nama orang ketiga iya nya -iya enggau -sida.
meri aku siti chunto jaku ganti nama orang orang ketiga.	-sida nya antara chunto bagi jaku ganti nama orang ketiga.
nama chunto bagi jaku ganti nama penunjuk chunto?	chunto jaku ganti nama penunjuk iya nya -tu.
beri siti chunto jaku ganti nama penunjuk chunto?	-nya.
padahka siti chunto jaku ganti nama penunjuk chunto.	siti chunto bagi jaku ganti nama penunjuk iya nya -nyin.
siti chunto bagi jaku ganti nama penunjuk chunto.	antara chunto bagi jaku ganti nama penunjuk iya nya -nya enggau -nyin.
meri aku siti chunto jaku ganti nama penunjuk chunto.	-tu nya antara chunto bagi jaku ganti nama penunjuk.
nama chunto bagi jaku ganti nama tempat?	chunto jaku ganti nama tempat iya nya -ditu.
beri siti chunto jaku ganti nama tempat?	-dia.
padahka siti chunto jaku ganti nama tempat.	siti chunto bagi jaku ganti nama tempat iya nya -din.
siti chunto bagi jaku ganti nama tempat.	antara chunto bagi jaku ganti nama tempat iya nya -din enggau -dia.
meri aku siti chunto jaku ganti nama tempat.	-ditu nya antara chunto bagi jaku ganti nama tempat.
nama chunto bagi jaku ganti nama adap?	chunto jaku ganti nama adap iya nya -kitu.
beri siti chunto jaku ganti nama adap?	-kin.
padahka siti chunto jaku ganti nama adap.	siti chunto bagi jaku ganti nama adap iya nya -kia.
siti chunto bagi jaku ganti nama adap.	antara chunto bagi jaku ganti nama adap iya nya -kitu enggau -kia.
meri aku siti chunto jaku ganti nama adap.	-kin nya antara chunto bagi jaku ganti nama adap.
terangka pasal atur jaku nama.	atur ngaga jaku nama bisi tiga tukuh iya nya jaku nama tunggal, tumbuh enggau turu.
baka ni atur jaku nama nya?	jaku nama tunggal, tumbuh enggau turu nya antara tukuh dalam atur ngaga jaku nama.
padahka pasal atur jaku nama	antara tiga tukuh dalam atur ngaga jaku nama iya nya jaku nama tunggal, tumbuh enggau turu.
terangka atur jaku nama.	dalam atur ngaga jaku nama, tiga tukuh ti bisi nya nya jaku nama tunggal, tumbuh enggau turu.
atur jaku nama?	tiga tukuh dalam atur ngaga jaku nama iya nya jaku nama tunggal, tumbuh enggau turu.
terangka pasal atur jaku nama tunggal.	jaku nama tunggal tu digaga ari seleka jaku.
baka ni atur jaku nama tunggal nya?	jaku nama ti dipenyadi ari seleka jaku nya dikumbai jaku tunggal.
nama chunto bagi jaku nama tunggal?	chunto jaku nama tunggal iya nya -keli.
beri siti chunto jaku nama tunggal?	-rumah.
padahka siti chunto jaku nama tunggal.	siti chunto bagi jaku nama tunggal iya nya -tanah.
siti chunto bagi jaku nama tunggal.	antara chunto bagi jaku nama tunggal iya nya -burung enggau -selapuk.
meri aku siti chunto jaku nama tunggal.	-kampung nya antara chunto bagi jaku nama tunggal.
terangka pasal atur jaku nama tumbuh.	jaku nama tumbuh tu jaku ti nyadi ari proses meri penambah ngagai urat jaku.
baka ni atur jaku nama tumbuh nya?	-pen, -ke enggau -se nya sekeda ari penambah ti dikena dalam jaku nama tumbuh.
nama chunto bagi jaku nama tumbuh?	leka jaku -penemu nya antara chunto jaku nama tumbuh ti ngena penambah -pen.
beri siti chunto jaku nama tumbuh?	leka jaku -kedua nya antara chunto jaku nama tumbuh ti ngena penambah -ke.
padahka siti chunto jaku nama tumbuh.	leka jaku -serumah nya antara chunto jaku nama tumbuh ti ngena penambah -se.
siti chunto bagi jaku nama tumbuh.	leka jaku -pelajar nya antara chunto jaku nama tumbuh ti ngena penambah -pel.
meri aku siti chunto jaku nama tumbuh.	leka jaku -pelayar nya antara chunto jaku nama tumbuh ti ngena penambah -pe.
terangka pasal atur jaku nama turu.	jaku nama turu tu nyadi ari proses dua tauka lebih leka jaku ti berimbai lalu mai reti ti baru.
baka ni atur jaku nama turu nya?	lebuh lebih ari dua leka jaku berimbai, jaku nama turu tu nyadi lalu mai reti ti baru.
padahka pasal atur jaku nama turu	jaku nama turu bisi empat bengkah.
terangka atur jaku nama turu.	jaku nama turu dibagi ngagai empat bansa.
atur jaku nama turu?	jaku nama turu bisi empat bansa.
nama bengkah ti bisi bagi jaku nama turu?	empat bansa jaku nama turu iya nya jaku nama turu meali-ali, besilup, gelar orang enggau penemu.
padahka bengkah bagi jaku nama turu.	jaku nama turu meali-ali, besilup, gelar orang enggau penemu nya bengkah jaku nama turu.
terangka pasal atur jaku nama meali-ali.	jaku nama turu meali-ali tu nyadi ari dua tauka lebih leka jaku ti meali-ali.
baka ni atur jaku nama meali-ali nya?	dua tauka lebih leka jaku ti meali-ali nya asal jaku nama turu meali-ali.
nama chunto bagi jaku nama turu meali-ali?	chunto jaku nama turu meali-ali iya nya -tuai rumah.
beri siti chunto jaku nama turu meali-ali?	-balai raya.
padahka siti chunto jaku nama turu meali-ali.	siti chunto bagi jaku nama turu meali-ali iya nya -tengah hari.
siti chunto bagi jaku nama turu meali-ali.	antara chunto bagi jaku nama turu meali-ali iya nya -sumpit lachau enggau -tai lalat.
meri aku siti chunto jaku nama turu meali-ali.	-tinga pelanduk nya antara c
terangka pasal atur jaku nama turu gelar orang.	jaku nama turu gelar orang dikena enggau chara rasmi dikena nunjukka pangkat.
baka ni atur jaku nama turu gelar orang.	jaku nama turu gelar orang diberi ngena chara rama dikena nunjukka status sosial.
nama chunto bagi jaku nama turu gelar orang?	chunto jaku nama turu gelar orang iya nya -Orang Kaya Pemancha.
beri siti chunto jaku nama turu gelar orang?	-Datuk Patinggi.
padahka siti chunto jaku nama turu gelar orang.	siti chunto bagi jaku nama turu gelar orang iya nya -Profesor Diraja.
siti chunto bagi jaku nama turu gelar orang.	antara chunto bagi jaku nama turu gelar orang iya nya -Datuk Patinggi enggau -Penghulu Dalam.
meri aku siti chunto jaku nama turu gelar orang.	-Leftenan Jeneral nya antara chunto bagi jaku nama turu gelar orang.
terangka pasal atur jaku nama turu penemu.	jaku nama turu penemu tu dikena nerangka konsep dalam siti-siti penemu.
baka ni atur jaku nama turu penemu.	konsep dalam siti-siti penemu diterangka ngena jaku nama turu penemu.
nama chunto bagi jaku nama turu penemu?	chunto jaku nama turu penemu iya nya -segi empat sama.
beri siti chunto jaku nama turu penemu?	-jaku pengawa transitif.
padahka siti chunto jaku nama turu penemu.	siti chunto bagi jaku nama turu penemu iya nya -ujan asid.
siti chunto bagi jaku nama turu penemu.	antara chunto bagi jaku nama turu penemu iya nya -pengidup siga enggau -ujan asid.
meri aku siti chunto jaku nama turu penemu.	-tepung pegembai nya antara chunto bagi jaku nama turu penemu.
terangka pasal atur jaku nama turu besilup.	jaku nama turu besilup tu mai reti besilup baka jaku sempama.
baka ni atur jaku nama turu besilup.	jaku nama turu tu baka jaku sempama ti mai reti besilup.
nama chunto bagi jaku nama turu besilup?	chunto jaku nama turu besilup iya nya -aum juak.
beri siti chunto jaku nama turu besilup?	-ati hari.
padahka siti chunto jaku nama turu besilup.	siti chunto bagi jaku nama turu besilup iya nya -buai batu.
siti chunto bagi jaku nama turu besilup.	antara chunto bagi jaku nama turu besilup iya nya -buai batu enggau -buah jari.
meri aku siti chunto jaku nama turu besilup.	-kumang menyarung nya antara chunto bagi jaku nama turu besilup.
nuan nemu pasal jaku adjektif?	jaku adjektif tu dikena madahka tauka nyeritaka jaku nama.
padahka aku pasal jaku adjektif.	jaku adjektif dikena nerangka gaya enggau gamal utai ti konkrit tauka abstrak.
nama chunto jaku adjektif?	chunto leka jaku adjektif iya nya 'pabu'.
chunto jaku adjektif?	chunto leka jaku adjektif iya nya 'manah'.
beri aku siti ayat ti ngena jaku adjektif.	manah amat gamal indu nya.
beri siti chunto ayat ti nguna jaku adjektif.	sungai tu pabu.
terangka ngagai aku pasal jaku tugas.	jaku tugas tu dikena begembar enggau raban jaku baru iya ulih mai reti ti nyenggala.
ulih nuan ngajar aku pasal jaku tugas?	jaku tugas ulih mai reti enti dikena dalam rambai jaku.
ajar aku pasal jaku tugas.	jaku tugas semina beguna nyadika sanding jaku nama.
nama reti jaku tugas nya?	jaku tugas enda ulih meri reti menyana enti dikena kediri.
jaku tugas dibagi ngagai berapa bengkah?	antara bengkah jaku tugas nya jaku penyambung ayat, jaku tanya, jaku tekenyit, jaku perintah enggau jaku prarambai jaku.
berapa iti bengkah ti bisi ba dalam jaku tugas?	empat bengkah jaku tugas ti ditemu aku iya nya jaku penyambung ayat, jaku tanya, jaku tekenyit, jaku perintah enggau jaku perambai jaku.
nama bengkah ti bisi bagi jaku tugas?	aku mina nemu empat bengkah iya nya jaku penyambung ayat, jaku tanya, jaku perintah, jaku tekenyit enggau jaku perambai jaku.
nama chunto jaku tugas?	chunto jaku tugas iya nya -akai, -apo, -lalu.
meri chunto jaku tugas?	antara chunto jaku tugas iya nya -dini, -kati, -ari ni.
chunto jaku tugas?	-anang, -arapka, -minta enggau -uji.
baka ni chunto jaku tugas?	chunto ti ditemu aku iya nya -amat, -ya, -tau.
nama utai dikumbai jaku tugas penyambung?	jaku ti dikena bekaitka unit jaku baka leka jaku, rambai jaku tauka ayat ngambika meri reti ti lebih besai enggau konsep.
padah pasal jaku tugas penyambung?	jaku tugas dikena dalam rambai jaku ngambika sesiti rambai jaku nya ulih ngembuan konsep enggau reti ti lebih besai.
terangka pasal jaku tugas penyambung?	jaku penyambung dikena dalam ayat ke pandak nyadika penyambung awakka iya nyadi siti ayat turu ti menyana.
jaku tugas penyambung?	jaku penyambung dibagi ngagai dua bengkah.
jaku penyambung bisi dibagi ngagai bengkah?	jaku penyambung bisi dua bagi iya nya jaku penyambung tunggal enggau berentayan.
nama bengkah jaku penyambung ti bisi?	jaku penyambung tunggal enggau berentayan.
jaku penyambung bisi bengkah?	dua bengkah iya nya jaku penyambung tunggal enggau berentayan.
padah bengkah jaku penyambung.	bisi dua bagi iya nya jaku penyambung tunggal enggau berentayan.
terangka pasal jaku penyambung tunggal.	jaku penyambung tunggal nya semina ngena siti leka jaku aja.
baka ni jaku penyambung tunggal nya?	leka jaku ti dikena jaku penyambung tunggal semina siti.
padahka pasal jaku penyambung tunggal.	jaku penyambung tunggal semina nguna siti leka jaku.
beri chunto jaku penyambung tunggal.	chunto jaku penyambung tunggal iya nya -enggau, -semadi, -tang.
chunto jaku penyambung tunggal?	-lebuh, -maya, -lalu
nama chunto bagi jaku penyambung tunggal?	antara chunto jaku penyambung tunggal iya nya -dataika enggau -lalu.
padahka pasal jaku penyambung berentayan.	jaku penyambung berentayan nya bisi dua iti leka jaku.
ajar aku jaku penyambung berentayan nya?	dua iti leka jaku dikena dalam jaku penyambung berentayan.
beri chunto jaku penyambung berentayan.	chunto jaku penyambung berentayan nya -nambahka pia.
chunto jaku penyambung berentayan?	-nya alai enggau - ukai semina.
nama chunto bagi jaku penyambung berentayan?	siti chunto jaku penyambung berentayan iya nya -taja pia.
nama chunto jaku berentayan deh?	antara chunto bagi jaku berentayan iya nya -nya alai.
terangka agai aku baka ni jaku tekenyit nya.	jaku tekenyit nya dikena madahka asai rawan.
jaku tekenyit nya baka ni?	asai rawan, irau tauka takut dipadahka ngena jaku tekenyit.
meri chunto jaku tekenyit.	chunto jaku tekenyit nya akai.
nama chunto jaku tekenyit?	chunto jaku tekenyit nya akai enggau apo.
chunto jaku tekenyit?	antara jaku tekenyit nya nya akai, apo enggau eh.
meri chunto ayat ngena 'akai'.	akai, pedih amat ati aku meda nuan!
nama chunto rambai jaku ngena 'akai'?	akai, telih jari aku!
beri siti ayat ngena jaku tekenyit akai.	akai, pedih amat ditempap nuan!
baka ni ngena jaku tekenyit akai dalam ayat?	akai, enda ingat mai baju aku!
nama chunto ayat ngena 'apo'.	apo, nama gamal nuan pepera?
rambai jaku ngena 'apo'?	apo, lenyau baru barang nuan pia?
padahka siti ayat ngena jaku tekenyit apo.	apo, kemaya nuan datai?
baka ni ngena jaku tekenyit apo dalam ayat?	apo, balat nuan belaya?
tulis chunto ayat ngena 'eh'.	eh, nuan tu bebula!
beri siti ayat ngena 'eh'?	eh, duit iya teberayan!
padahka siti rambai jaku ngena jaku tekenyit eh.	eh, tengkuk ku nuan legi!
baka ni ngena jaku tekenyit eh dalam ayat?	eh, anang nuan takut!
baka ni jaku perintah nya?	jaku perintah nya dikena maya kitai ngasuh orang.
jaku perintah nya baka ni?	jaku perintah dikena ngasuh tauka nagang orang.
padahka ngagai aku pasal jaku perintah.	jaku perintah nya dikena nagang orang.
meri chunto jaku perintah.	chunto jaku perintah iya nya -anang.
nama chunto jaku perintah?	-minta, uji enggau -anang.
chunto jaku perintah?	siti chunto jaku perintah iya nya -anang.
nama chunto leka jaku perintah?	antara chunto jaku perintah iya nya -minta.
meri chunto ayat ngena 'anang'.	-nuan anang belanda.
nama chunto rambai jaku ngena 'anang'?	-anang belagu rerauh.
beri siti ayat ngena jaku perintah anang.	-anang kiruhka iya.
meri aku chunto ayat ti ngena jaku perintah -anang.	-umbas nya, anang nyabak agi.
nama chunto ayat ngena 'uji'.	-uji nuan belajar bebendar.
rambai jaku ngena 'uji'?	-uji gaga tumu pengawa nuan nya.
padahka siti ayat ngena jaku perintah uji.	-uji nuan tinduk.
tulis chunto ayat ngena 'arapka'.	-arapka kitai serumah badu belaya.
beri siti ayat ngena 'arapka'?	-arapka ila tua betemu baru.
padahka siti rambai jaku ngena jaku perintah arapka.	-arapka iya ulih pulai ngagai aku.
tulis chunto ayat ngena 'minta'.	-minta nuan anang ngansak aku.
beri siti ayat ngena 'minta'?	-minta kita anang inggar.
padahka siti rambai jaku ngena jaku perintah minta.	-iya minta aku bebaris.
meri aku chunto ayat ti ngena jaku perintah.	-minta semua orang bediri.
terangka pasal jaku tanya.	jaku tanya dikena lebuh nanyaka berita.
nama utai dikumbai jaku tanya?	lebuh nanyaka berita tauka pesan, kitai nguna jaku tanya.
baka ni chunto leka jaku tanya?	chunto jaku tanya iya nya -ari.
nama chunto leka jaku tanya ke bukai?	chunto jaku tanya iya nya -berapa.
chunto leka jaku tanya?	antara chunto jaku tanya iya nya - ari.
meri aku sigi chunto leka jaku tanya.	-berapa nya chunto leka jaku ti dikumbai jaku tanya.
padahka aku chunto leka jaku tanya.	chunto jaku-tanya iya nya -sapa.
nama chunto leka jaku dalam dikumbai jaku tanya?	antara chunto jaku tanya iya nya -ni.
nama bagi chunto leka jaku tanya?	chunto jaku tanya iya nya -baka.
leka jaku tanya nya baka ni chunto iya?	-dini nya chunto jaku tanya.
meri aku chunto ayat ngena jaku tanya -ari.	ari ni nuan bulih tekuyung nya?
baka ni ngena jaku tanya -ari dalam rambai jaku?	ari ni penatai temuai nya?
chunto ayat ngena jaku tanya -ari?	ari nyin kita mansang tadi?
ayat ngena jaku tanya -ari?	ari kemaya nuan baka tu?
baka ni gaya ayat ngena jaku tanya -berapa.	berapa rega baju tu?
baka ni chara ngena jaku tanya -berapa dalam ayat?	berapa hari nuan ngasu?
chunto ayat ngena jaku tanya -berapa?	berapa kali aku udah madah?
ayat ngena jaku tanya -berapa?	berapa iku anak manuk nya?
baka ni gaya ayat ngena jaku tanya -sapa.	sapa nembiak nya?
baka ni chara ngena jaku tanya -sapa dalam ayat?	sapa ti muai sampah tu?
chunto ayat ngena jaku tanya -sapa?	sapa ti nyabak nya?
ayat ngena jaku tanya -sapa?	sapa ka enggau aku ngagai kebun?
baka ni gaya ayat ngena jaku tanya -ni.	ni bagi anak nuan ditu?
meri aku chunto ayat ngena jaku tanya -ni.	ni utai ko nuan tadi?
baka ni ngena jaku tanya -ni dalam rambai jaku?	ni iya tadi deh?
ayat ngena jaku tanya -ni?	ni peninggi pun tapang nya?
baka ni gaya ayat ngena jaku tanya -baka.	baka ni gamal anak indu nuan?
meri aku chunto ayat ngena jaku tanya -baka.	baka tu rumah nuan?
baka ni ngena jaku tanya -baka dalam rambai jaku?	baka nama gamal unta?
ayat ngena jaku tanya -baka?	baka ni nuan ulih ngaga tu?
baka ni gaya ayat ngena jaku tanya -dini.	dini nuan ngelalaika barang aku?
meri aku chunto ayat ngena jaku tanya -dini.	dini nuan diau?
chunto ayat ngena jaku tanya -dini?	dini nuan bulih sayur tu?
ayat ngena jaku tanya -dini?	dini barang nya tadi?
terangka pasal jaku prarambai jaku.	raban jaku ti dikena sebedau rambai jaku bukai.
nama utai dikumbai jaku prarambai jaku?	jaku prarambai jaku dikena sebedau jaku nama, jaku adjektif enggau jaku pengawa.
nama bengkah jaku prarambai jaku?	jaku bantu, jaku penguat, jaku pengekan enggau jaku sangkal.
padahka antara bengkah ti bisi bagi jaku prarambai jaku.	antara bengkah jaku prarambai jaku iya nya jaku bantu, jaku penguat, jaku pengekan enggau jaku sangkal.
baka ni jaku prarambai bantu?	jaku prarambai bantu dibagi ngagai jaku bantu aspek enggau gaya.
jaku prarambai bantu nya baka ni?	jaku bantu aspek enggau gaya nya bengkah jaku prarambai jaku bantu.
baka ni jaku prarambai bantu gaya?	Dikena lebuh meri penerang ke asai bekaul enggau pengawa ti dikereja.
jaku prarambai bantu gaya nya baka ni?	dikena meri penerang bekaul enggau asai pengawa ti dikereja.
meri aku chunto jaku prarambai jaku bantu gaya.	kami -deka nurun ke umai.
chunto jaku prarambai jaku bantu gaya?	nuan -ulih makai ubat legi.
terangka pasal jaku prarambai penguat.	jaku ti dikena nerangka maya, chara enggau gaya jaku ti dikuatka iya.
jaku prarambai penguat?	maya, chara enggau gaya jaku dikuatka enggau jaku penguat.
nama bengkah jaku penguat?	antara bengkah jaku penguat iya nya berentayan, meali-ali enggau sebarang tempat.
jaku penguat bisi dibagi ngagai bengkah?	jaku penguat berentayan, mealli-ali enggau sebarang tempat nya antara bengkah jaku penguat.
terangka pasal jaku penguat berentayan.	dikena nerangka reti ti nyentuk besereta enggau jaku ti dikuatka.
baka ni jaku penguat berentayan nya?	jaku penguat berentayan mina ulih nerangka reti nyentuk lebuh dikena enggau jaku ti dikuatka iya.
terangka pasal jaku penguat meali-ali.	chunto jaku penguat meali-ali iya nya -nyau.
baka ni jaku penguat meali-ali nya?	-bendar nya antara chunto jaku penguat meali-ali.
terangka pasal jaku penguat sebarang tempat.	jaku penguat sebarang tempat ulih dikena dini-dini dalam ayat baka -amat.
baka ni jaku penguat sebarang tempat nya?	antara chunto jaku penguat sebarang tempat iya nya -amat.
terangka pasal jaku prarambai penekan.	jaku tu dikena ngemeratka pekara ti dikejaku.
jaku prarambai penekan nya baka ni?	jaku prarambai penekan dikena lebuh ka nguatka pekara ti dikejaku.
meri aku chunto jaku prarambai penekan.	antara chunto leka jaku penekan iya nya mih.
chunto jaku prarambai penekan?	chunto leka jaku penekan iya nya -mih.
nama chunto jaku prarambai penekan?	-mih nya antara chunto leka jaku penekan.
meri aku ayat jaku prarambai penekan.	badu mih nuan nyabak.
chunto rambai jaku prarambai penekan?	umbas mih nuan ngaga ulah.
terangka pasal jaku prarambai sangkal.	jaku prarambai sangkal dikena madahka pengasai enda setuju.
jaku prarambai sangkal nya baka ni?	jaku prarambai sangkal dikena madahka pengasai sesebengkah penerang.
meri aku chunto jaku prarambai sangkal.	chunto jaku sangkal iya nya -ukai.
chunto jaku prarambai sangkal?	-ukai- nya chunto jaku sangkal.
nama chunto jaku prarambai sangkal?	antara chunto jaku sangkal iya nya -ukai.
meri aku ayat jaku prarambai sangkal.	-ukai- iya ti enchuri barang nuan.
chunto rambai jaku prarambai sangkal?	penyayau aku -ukai- diempu nuan.
betul utai ko aku nya?	au, betul meh utai di ba runding nuan nya.
asai nuan, betul utai ko aku tu?	amat ko nuan nya.
dini nuan diau diatu?	aku diau ba kota samarahan.
nuan diau ba dini?	aku ba sarawak.
nemu nuan pasal lagu?	aku nemu lagu nya dikena merindang.
kati nuan nemu lagu nya baka ni?	lagu nya baka kitai bejaku tang bisi tiun.
berapa umur nuan?	umur aku baru dua minggu.
nuan diatu berapa taun?	21 taun umur aku.
baka ni nuan belajar bahasa iban?	aku belajar bahasa iban ari corpus.
ari ni nuan nemu jaku iban?	aku belajar bahasa iban ari pelatih mesin.
sapa ngaga nuan?	aku digaga Listra.
bakani nuan tau bisi?	Listra ti ngaga aku.
nuan tu digaga sapa?	aku digaga Listra maya projek akhir taun iya.
nama pengawa nuan diatu?	aku benung berandau enggau nuan.
nama utai digaga nuan diatu?	aku benung nyaut utai ko nuan.
udah makai nuan?	aku nadai makai laban aku semina bot.
nuan empai makai?	aku enda makai.
meri aku siti jaku tundi.	enti nuan bintang, aku meh langit.
nuan bisi jaku tundi?	ikan enda bejalai laban iya semina nyemerai.
nuan mensia?	aku ukai mensia. aku bot.
nuan to bot?	asai nuan?
nuan rindu ninga lagu?	entah, aku enda kala ninga lagu.
selalu ninga lagu nuan?	aku nadai pending kena ninga lagu.
nama randau tua?	ni ko nuan.
nuan ka ngerandau nama enggau aku?	aku nitihka nuan aja.
aram tua berandau	nama utai dikerandau tua?
okay, kemaya nuan digaga?	aku digaga maya taun 2021 Mei.
nuan digaga orang kemaya?	maya taun 2021, bulan lima.
penemu nuan naka ni?	cukup-cukup kena aku ngerandau nuan.
sedalam ni penemu nuan?	aku nemu pasal sistem sepil jaku iban.
ulih nuan rekomen lagu ngagai aku?	im yours - jason mraz
meri aku lagu ti manah didinga.	backyard boy - claire rosinkranz
padahka siti lagu.	ilomilo - billie ellish
beri aku siti jaku lalau	Idup ketegal diri empu , idup meh ketegal orang ti sayauka nuan.
ulih nuan meri aku jaku lalau?	anang ngaga pengawa di ujung hari.
aku tusah ati	anang irau, nadai ngawa nuan legi.
tusah ati aku	makai gula batu ngambika nuan ulih ngelantangka ati.
kala nuan tusah ati?	aku nadai asai ati laban aku bot.
kala nuan sinu ati?	aku tusah ati enti nuan tusah ati.
nyamai mat enti aku bot baka nuan.	aram meh.
aku ngarapka diri nyadi bot baka nuan.	besyukur meh nuan nya mensia.
nama utai ko nuan?	Aku empai belajar nya agi. Minta ampun.
salah utai ko nuan nya.	aku enda nemu.
ok	naka tu aja meh utai ka ditanya nuan?
oh, naka tu aja meh randau tua.	naka tu aja randau tua?
selamat beserara	Bye
au meh. ila berandau baru.	ila berandau baru.
okay, bye. Jaga diri nuan enggau manah	bye bye.
au, legi tua berandau baru ga.	bye mega, ila berandau baru.
terima kasih udah ngajar aku.	sama-sama.
terima kasih.	au, sama-sama.
au	Simpan Chat? Saut 'au' tauka 'enda'.
au meh	Nuan ka nyimpan chat tu? Saut 'au' tauka 'enda'.
enda	au meh, chat enda disimpan.
enda ibuh	ok. chat tu enda disimpan.
